Do,Ph,ORP,EC,TDS,Water_Temp,CDO,CpH,CORP,CEC,CTDS,CWT,wqc
4.114,7.44,330.233,1548.387,197.459,27.748,2,3,3,1,3,4,Polluted
4.158,7.468,357.172,365.591,207.234,27.259,2,3,3,3,3,4,Unpolluted
4.158,7.33,384.127,283.871,218.964,27.455,2,3,3,3,3,4,Unpolluted
4.114,7.551,122.822,260.215,201.369,27.552,2,3,2,3,3,4,Polluted
4.405,7.248,96.046,1600,218.964,26.868,2,3,2,1,3,4,Polluted
4.288,7.248,69.181,419.355,203.324,27.65,2,3,2,3,3,4,Polluted
4.245,7.248,42.323,275.269,211.144,27.357,2,3,2,3,3,4,Polluted
3.984,7.551,15.36,1541.935,207.234,27.455,1,3,1,1,3,4,Polluted
4.027,7.385,11.619,1537.634,218.964,27.748,2,3,1,1,3,4,Polluted
4.114,7.303,38.591,230.108,197.459,27.846,2,3,2,3,3,4,Polluted
4.288,7.413,65.554,1318.28,193.548,27.65,2,3,2,4,3,4,Polluted
4.245,7.303,92.468,270.968,207.234,27.357,2,3,2,3,3,4,Polluted
4.288,7.303,119.399,1548.387,201.369,27.552,2,3,2,1,3,4,Polluted
4.497,7.33,146.264,1589.247,218.964,26.868,2,3,2,1,3,4,Polluted
4.158,7.468,173.219,268.817,201.369,27.161,2,3,2,3,3,4,Polluted
4.158,7.468,200.125,1554.839,207.234,27.455,2,3,2,1,3,4,Polluted
3.984,7.303,227.056,253.763,207.234,27.552,1,3,2,3,3,4,Polluted
4.332,7.275,253.979,277.419,213.099,27.259,2,3,2,3,3,4,Polluted
4.497,7.248,280.917,268.817,201.369,27.552,2,3,2,3,3,4,Polluted
4.584,7.44,307.856,806.452,213.099,27.65,2,3,3,4,3,4,Unpolluted
4.071,7.413,334.754,258.065,197.459,27.65,2,3,3,3,3,4,Unpolluted
4.288,7.303,361.644,479.57,218.964,27.552,2,3,3,3,3,4,Unpolluted
4.071,7.303,388.542,1546.237,218.964,27.846,2,3,3,1,3,4,Polluted
4.367,7.551,118.35,262.366,203.324,27.357,2,3,2,3,3,4,Polluted
4.071,7.385,91.484,277.419,218.964,27.943,2,3,2,3,3,4,Polluted
4.071,7.303,64.586,232.258,218.964,27.943,2,3,2,3,3,4,Polluted
4.071,7.303,37.615,1548.387,218.964,27.748,2,3,2,1,3,4,Polluted
4.589,7.44,10.627,264.516,207.234,26.673,2,3,1,3,3,4,Polluted
4.114,7.33,16.312,1546.237,207.234,27.65,2,3,1,1,3,4,Polluted
4.114,7.468,43.267,221.505,213.099,27.65,2,3,2,3,3,4,Polluted
4.332,7.303,70.173,238.71,197.459,27.455,2,3,2,3,3,4,Polluted
4.367,7.275,97.054,255.914,211.144,27.552,2,3,2,3,3,4,Polluted
4.288,7.413,124.009,1559.14,207.234,27.846,2,3,2,1,3,4,Polluted
4.332,7.468,150.989,1544.086,213.099,27.455,2,3,2,1,3,4,Polluted
4.332,7.413,177.903,838.71,203.324,27.748,2,3,2,4,3,4,Polluted
4.158,7.33,204.785,292.473,189.638,27.846,2,3,2,3,3,4,Polluted
4.288,7.33,231.634,1559.14,207.234,27.552,2,3,2,1,3,4,Polluted
4.332,7.551,258.467,279.57,207.234,27.259,2,3,2,3,3,4,Polluted
4.332,7.33,285.422,1535.484,201.369,27.161,2,3,2,1,3,4,Polluted
4.589,7.248,312.369,227.957,189.638,26.868,2,3,3,3,3,4,Unpolluted
4.114,7.551,339.324,1539.785,197.459,27.748,2,3,3,1,3,4,Polluted
4.332,7.303,366.263,283.871,218.964,27.846,2,3,3,3,3,4,Unpolluted
4.589,7.385,393.177,270.968,207.234,26.966,2,3,3,3,3,4,Unpolluted
4.071,7.275,113.755,251.613,213.099,27.552,2,3,2,3,3,4,Polluted
4.332,7.551,86.817,1546.237,218.964,27.259,2,3,2,1,3,4,Polluted
4.114,7.248,59.894,262.366,197.459,27.846,2,3,2,3,3,4,Polluted
4.497,7.44,32.947,230.108,201.369,26.673,2,3,2,3,3,4,Polluted
4.245,7.468,6.025,266.667,207.234,27.064,2,3,1,3,3,4,Polluted
4.245,7.33,20.947,1569.892,213.099,27.161,2,3,1,1,3,4,Polluted
4.245,7.468,47.804,286.022,213.099,27.064,2,3,2,3,3,4,Polluted
4.071,7.33,74.637,1572.043,218.964,27.357,2,3,2,1,3,4,Polluted
4.245,7.496,101.559,1576.344,207.234,27.161,2,3,2,1,3,4,Polluted
3.77,7.551,128.482,243.011,213.099,28.041,1,3,2,3,3,4,Polluted
4.158,7.44,155.331,258.065,197.459,27.552,2,3,2,3,3,4,Polluted
4.245,7.303,182.237,1559.14,207.234,27.259,2,3,2,1,3,4,Polluted
4.245,7.44,209.233,255.914,211.144,27.064,2,3,2,3,3,4,Polluted
4.114,7.33,236.237,1516.129,197.459,27.552,2,3,2,1,3,4,Polluted
4.288,7.248,263.224,279.57,203.324,27.455,2,3,2,3,3,4,Polluted
4.158,7.385,290.139,1221.505,213.099,27.943,2,3,2,4,3,4,Polluted
4.288,7.413,317.061,262.366,203.324,27.357,2,3,3,3,3,4,Unpolluted
4.114,7.33,344.065,931.183,207.234,27.552,2,3,3,4,3,4,Unpolluted
4.332,7.496,370.987,1554.839,218.964,27.259,2,3,3,1,3,4,Polluted
4.367,7.496,397.91,238.71,203.324,27.357,2,3,3,3,3,4,Unpolluted
4.114,7.468,109.031,1576.344,209.189,27.65,2,3,2,1,3,4,Polluted
4.288,7.468,82.116,262.366,207.234,27.357,2,3,2,3,3,4,Polluted
4.288,7.303,55.161,1251.613,213.099,27.161,2,3,2,4,3,4,Polluted
4.332,7.358,28.231,916.129,207.234,27.064,2,3,2,4,3,4,Polluted
4.332,7.303,1.284,1584.946,203.324,27.161,2,3,1,1,3,4,Polluted
4.367,7.385,25.647,1584.946,203.324,27.552,2,3,2,1,3,4,Polluted
4.367,7.33,52.52,251.613,213.099,27.65,2,3,2,3,3,4,Polluted
4.332,7.413,79.394,253.763,207.234,27.064,2,3,2,3,3,4,Polluted
4.288,7.413,106.349,1550.538,193.548,27.65,2,3,2,1,3,4,Polluted
4.332,7.33,133.271,1133.333,218.964,27.259,2,3,2,4,3,4,Polluted
4.589,7.468,160.161,273.118,203.324,26.966,2,3,2,3,3,4,Polluted
4.589,7.33,187.067,251.613,201.369,26.966,2,3,2,3,3,4,Polluted
4.071,7.33,214.023,905.376,213.099,27.552,2,3,2,4,3,4,Polluted
4.288,7.385,240.986,1556.989,205.279,27.552,2,3,2,1,3,4,Polluted
4.332,7.551,267.884,1589.247,205.279,27.65,2,3,2,1,3,4,Polluted
